variant,csi_nmse_db,top1_pct,top3_pct,normalized_gain_pct
A,-7.912464313379955,84.4494892167991,96.0272417707151,92.34835032572406
B,-9.572394429792036,83.3144154370034,95.40295119182747,91.23463084018461
C,-8.964247644831316,83.37116912599319,96.19750283768444,91.38621742690192
D,-10.104318937176032,83.76844494892168,95.57321225879683,91.68032106016334
E,-8.705108044416642,84.22247446083996,95.80022701475596,92.28915307632775
F,-9.534946314788261,82.17934165720771,96.31101021566401,90.37915115053347
G,-3.3592200613244865,71.28263337116913,94.66515323496027,81.48385106367097
